,median,low_err,high_err
e_i_peak,492.6806667663661,49.958227008406254,49.77347878862122
e_isotropic,9.024092050640782e+45,4.2402013239181055e+44,3.4728813651142997e+44
e_i_peak,671.6467050668577,68.05697305159106,68.16993548739538
e_isotropic,2.42472061096923e+47,1.0787277664255394e+46,9.068430305106822e+45
e_i_peak,893.4915358982245,89.52223396782892,90.5014286238502
e_isotropic,9.540997271858797e+47,4.289474486997241e+46,3.457864000584361e+46
e_i_peak,1342.3973822601831,137.8426597888424,134.54628016632182
e_isotropic,3.3278651149748285e+48,1.4288505272057083e+47,1.1017154789002812e+47
e_i_peak,1789.7075565481875,177.37614958899394,186.57077728612356
e_isotropic,6.376976165631149e+48,2.562981456670431e+47,2.087923690527061e+47
e_i_peak,2238.715935509807,228.7441540851896,226.48220073025232
e_isotropic,9.747691330792205e+48,3.9328887823776e+47,2.8551440532478614e+47
e_i_peak,2690.129655212685,276.4956096987162,266.41926262757624
e_isotropic,1.3242844328821875e+49,5.127928219965893e+47,3.7622407612980524e+47
e_i_peak,3134.1671650737007,324.91274259844204,318.2229522790781
e_isotropic,1.677753393688655e+49,6.1263812901652964e+47,4.7236316170701744e+47
e_i_peak,3587.862482518947,369.867141121621,349.9322473099601
e_isotropic,2.0303700967714e+49,7.044803860281224e+47,5.1513534506860605e+47
e_i_peak,4021.5732941310102,405.2185619285788,415.8685691563069
e_isotropic,2.3742598254963917e+49,7.778828125656895e+47,6.0163766617898555e+47
e_i_peak,4474.864956214656,450.85038488312193,450.6164248786554
e_isotropic,2.712666339551862e+49,8.544908149569383e+47,6.422221249174256e+47
e_i_peak,4928.026269501641,497.7727728414511,507.1775806069081
e_isotropic,3.0405620112546354e+49,9.085469037802177e+47,6.860251456706498e+47
